parroquia,total_puntos
ALANGASI,22
AMAGUAÑA,46
ATAHUALPA,2
BELISARIO QUEVEDO,28
CALACALI,6
CALDERON,137
CARCELEN,22
CENTRO HISTORICO,61
CHAVEZPAMBA,2
CHECA,7
CHILIBULO,26
CHILLOGALLO,31
CHIMBACALLE,34
COCHAPAMBA,16
COMITE DEL PUEBLO,14
CONOCOTO,36
COTOCOLLAO,18
CUMBAYA,16
EL CONDADO,56
EL QUINCHE,13
GUALEA,1
GUAMANI,49
GUANGOPOLO,6
GUAYLLABAMBA,13
ITCHIMBIA,53
IÑAQUITO,49
JIPIJAPA,10
KENNEDY,15
LA ARGELIA,35
LA CONCEPCION,12
LA ECUATORIANA,35
LA FERROVIARIA,29
LA LIBERTAD,14
LA MAGDALENA,19
LA MENA,25
LA MERCED,11
LLANO CHICO,19
LLOA,5
MARISCAL SUCRE,30
NANEGAL,2
NANEGALITO,5
NAYON,6
NONO,3
PACTO,4
PERUCHO,2
PIFO,13
PINTAG,17
POMASQUI,20
PONCEANO,12
PUELLARO,3
PUEMBO,12
PUENGASI,48
QUITUMBE,62
RUMIPAMBA,9
SAN ANTONIO,24
SAN BARTOLO,33
SAN ISIDRO DEL INCA,11
SAN JOSE DE MINAS,3
SAN JUAN,39
SOLANDA,31
TABABELA,5
TUMBACO,27
TURUBAMBA,54
YARUQUI,15
ZAMBIZA,17
